"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"John Cornyn","TX","No Associate's","Trinity University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"John Curtis","UT","No Associate's","Brigham Young University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Duarte","CA","No Associate's","San Diego State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Fetterman","PA","No Associate's","Albright College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Garamendi","CA","No Associate's","University of California Berkeley","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Henry Rutherford","FL","Associate's Degree","Florida State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Hickenlooper","CO","No Associate's","Wesleyan University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Hoeven","ND","No Associate's","Dartmouth College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John James","MI","No Associate's","The United States Military Academy at West Point","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Joyce","PA","No Associate's","Penn State University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"John Larson","CT","No Associate's","Central Connecticut State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Mannion","NY","No Associate's","State University of New York, Binghamton","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John McGuire","VA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Moolenaar","MI","No Associate's","Hope College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"John Neely Kennedy","LA","No Associate's","Vanderbilt University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"John Rose","TN","No Associate's","Tennessee Technological University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"John Sarbanes","MD","No Associate's","Princeton University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"John Thune","SD","No Associate's","Biola University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Johnny Olszewski","MD","No Associate's","Goucher College","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Jon Ossoff","GA","No Associate's","Georgetown University School of Foreign Service","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Jon Tester","MT","No Associate's","University of Great Falls","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Jonathan Jackson","IL","No Associate's","Northwestern University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Joni Ernst","IA","No Associate's","Iowa State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Josh Brecheen","OK","No Associate's","Southeastern Oklahoma State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Josh Gottheimer","NJ","No Associate's","University of Pennsylvania","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Josh Harder","CA","No Associate's","Stanford University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Josh Hawley","MO","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Josh Riley","NY","No Associate's","College of William & Mary","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Joyce Beatty","OH","No Associate's","Central State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Juan Carlos Vargas","CA","No Associate's","University of San Diego","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Juan Ciscomani","AZ","Associate's Degree","University of Arizona","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Judy Chu","CA","No Associate's","University of California Los Angeles","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Julia Brownley","CA","No Associate's","George Washington University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Julia Letlow","LA","No Associate's","University of Louisiana at Monroe","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Julie Johnson","TX","No Associate's","University of Texas at Austin","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kat Cammack","FL","No Associate's","Metropolitan State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Katherine Clark","MA","No Associate's","Saint Lawrence University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kathy Castor","FL","No Associate's","Emory University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
